Id,Symbol,Name,Current Price,Price Change 24H,Market Cap
bitcoin,btc,Bitcoin,94731.0,847.99 (0.90%),1880675601739
ethereum,eth,Ethereum,1799.79,17.69 (0.99%),217237991883
tether,usdt,Tether,1.0,-0.00 (-0.00%),147996978453
ripple,xrp,XRP,2.29,0.03 (1.46%),133738646385
binancecoin,bnb,BNB,606.59,2.75 (0.46%),88433754121
solana,sol,Solana,147.66,-0.95 (-0.64%),76445221837
usd-coin,usdc,USDC,0.999947,-0.00 (-0.01%),62008537151
dogecoin,doge,Dogecoin,0.179162,0.00 (0.05%),26698702279
cardano,ada,Cardano,0.704319,-0.00 (-0.27%),25376305029
tron,trx,TRON,0.247483,0.00 (1.18%),23494331593
